trial_id,replicate_id,com_scale,payload_x_factor,payload_y_factor,measurement_seed,torque_seed,force_seed,payload_mass,payload_pos_x,payload_pos_y,payload_pos_z,motor_delay,motor_tau,effectiveness_initial,effectiveness_slope,torque_sigma_x,torque_sigma_y,torque_sigma_z,torque_tau_x,torque_tau_y,torque_tau_z,force_sigma_x,force_sigma_y,force_sigma_z,force_tau_x,force_tau_y,force_tau_z
95,0,nan,0.625,1.25,7000,7001,7002,0.5,0.19375,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
96,1,nan,0.625,1.25,7003,7004,7005,0.5,0.19375,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
97,2,nan,0.625,1.25,7006,7007,7008,0.5,0.19375,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
98,3,nan,0.625,1.25,7009,7010,7011,0.5,0.19375,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
99,4,nan,0.625,1.25,7012,7013,7014,0.5,0.19375,0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
100,0,nan,1.25,-1.25,7000,7001,7002,0.5,0.3875,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
101,1,nan,1.25,-1.25,7003,7004,7005,0.5,0.3875,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
102,2,nan,1.25,-1.25,7006,7007,7008,0.5,0.3875,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
103,3,nan,1.25,-1.25,7009,7010,7011,0.5,0.3875,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
104,4,nan,1.25,-1.25,7012,7013,7014,0.5,0.3875,-0.3875,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
105,0,nan,1.25,-0.625,7000,7001,7002,0.5,0.3875,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
106,1,nan,1.25,-0.625,7003,7004,7005,0.5,0.3875,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
107,2,nan,1.25,-0.625,7006,7007,7008,0.5,0.3875,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
108,3,nan,1.25,-0.625,7009,7010,7011,0.5,0.3875,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
109,4,nan,1.25,-0.625,7012,7013,7014,0.5,0.3875,-0.19375,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
110,0,nan,1.25,0.0,7000,7001,7002,0.5,0.3875,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
111,1,nan,1.25,0.0,7003,7004,7005,0.5,0.3875,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
112,2,nan,1.25,0.0,7006,7007,7008,0.5,0.3875,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
113,3,nan,1.25,0.0,7009,7010,7011,0.5,0.3875,0.0,0.56,0.01,0.017,0.6966,-0.000844,0.0891,0.0807,0.0323,0.296,0.586,0.616,0.514,1.266,0.981,0.25,0.62,0.27
